date,market,open,close
2023-05-13,Tara Mumbai Day,266,268
2023-05-13,Time Bazar,369,680
2023-05-14,Kalyan Morning,678,579
2023-05-14,Madhur Day,356,399
2023-05-14,Madhur Morning,789,346
2023-05-14,Madhuri,378,250
2023-05-14,Milan Morning,230,135
2023-05-14,Sridevi,189,349
2023-05-14,Sridevi Night,238,147
2023-05-14,Supreme Day,499,489
2023-05-14,Supreme Night,330,459
2023-05-15,Kalyan,566,669
2023-05-15,Kalyan Morning,378,135
2023-05-15,Kalyan Night,225,350
2023-05-15,Madhur Day,148,130
2023-05-15,Madhur Morning,179,260
2023-05-15,Madhur Night,368,223
2023-05-15,Madhuri,134,160
2023-05-15,Madhuri Night,469,568
2023-05-15,Main Bazar,149,340
2023-05-15,Milan Day,770,344
2023-05-15,Milan Morning,226,579
2023-05-15,Milan Night,490,147
2023-05-15,Rajdhani Day,450,133
2023-05-15,Rajdhani Night,288,789
2023-05-15,Sridevi,339,279
2023-05-15,Sridevi Night,270,680
2023-05-15,Supreme Day,127,255
2023-05-15,Supreme Night,167,257
2023-05-15,Tara Mumbai Day,478,200
2023-05-15,Time Bazar,780,230
2023-05-16,Kalyan,399,357
2023-05-16,Kalyan Morning,178,140
2023-05-16,Kalyan Night,188,700
2023-05-16,Madhur Day,260,330
2023-05-16,Madhur Morning,370,289
2023-05-16,Madhur Night,230,468
2023-05-16,Madhuri,550,689
2023-05-16,Madhuri Night,479,900
2023-05-16,Main Bazar,236,230
2023-05-16,Milan Day,150,250
2023-05-16,Milan Morning,256,479
2023-05-16,Milan Night,790,345
2023-05-16,Rajdhani Day,249,456
2023-05-16,Rajdhani Night,456,469
2023-05-16,Sridevi,356,136
2023-05-16,Sridevi Night,459,378
2023-05-16,Supreme Day,479,269
2023-05-16,Supreme Night,357,690
2023-05-16,Tara Mumbai Day,599,677
2023-05-16,Time Bazar,349,356
2023-05-17,Kalyan,389,145
2023-05-17,Kalyan Morning,244,368
2023-05-17,Kalyan Night,237,358
2023-05-17,Madhur Day,148,246
2023-05-17,Madhur Morning,290,268
2023-05-17,Madhur Night,239,237
2023-05-17,Madhuri,457,467
2023-05-17,Madhuri Night,579,445
2023-05-17,Main Bazar,126,148
2023-05-17,Milan Day,122,800
2023-05-17,Milan Morning,134,137
2023-05-17,Milan Night,259,699
2023-05-17,Rajdhani Day,359,335
2023-05-17,Rajdhani Night,678,234
2023-05-17,Sridevi,789,140
2023-05-17,Sridevi Night,399,348
2023-05-17,Supreme Day,149,460
2023-05-17,Supreme Night,590,679
2023-05-17,Tara Mumbai Day,680,240
2023-05-17,Time Bazar,100,689
2023-05-18,Kalyan,239,129
2023-05-18,Kalyan Morning,280,167
2023-05-18,Kalyan Night,334,270
2023-05-18,Madhur Day,235,567
2023-05-18,Madhur Morning,479,258
2023-05-18,Madhur Night,149,147
2023-05-18,Madhuri,114,350
2023-05-18,Madhuri Night,679,150
2023-05-18,Main Bazar,134,660
2023-05-18,Milan Day,220,146
2023-05-18,Milan Morning,250,122
2023-05-18,Milan Night,668,117
2023-05-18,Rajdhani Day,233,578
2023-05-18,Rajdhani Night,369,330
2023-05-18,Sridevi,369,267
2023-05-18,Sridevi Night,569,335
2023-05-18,Supreme Day,249,500
2023-05-18,Supreme Night,190,480
2023-05-18,Tara Mumbai Day,346,390
2023-05-18,Time Bazar,336,229
2023-05-19,Kalyan,389,358
2023-05-19,Kalyan Morning,458,600
2023-05-19,Kalyan Night,677,112
2023-05-19,Madhur Day,239,570
2023-05-19,Madhur Morning,679,130
2023-05-19,Madhur Night,146,456
2023-05-19,Madhuri,255,344
2023-05-19,Madhuri Night,230,577
2023-05-19,Main Bazar,178,239
2023-05-19,Milan Day,129,788
2023-05-19,Milan Morning,467,568
2023-05-19,Milan Night,100,238
2023-05-19,Rajdhani Day,156,345
2023-05-19,Rajdhani Night,110,149
2023-05-19,Sridevi,448,259
2023-05-19,Sridevi Night,136,120
2023-05-19,Supreme Day,149,889
2023-05-19,Supreme Night,178,445
2023-05-19,Tara Mumbai Day,116,390
2023-05-19,Time Bazar,123,160
2023-05-20,Kalyan,149,456
2023-05-20,Kalyan Morning,669,138
2023-05-20,Madhur Day,256,136
2023-05-20,Madhur Morning,680,267
2023-05-20,Madhur Night,468,890
2023-05-20,Madhuri,356,579
2023-05-20,Madhuri Night,340,690
2023-05-20,Milan Day,124,590
2023-05-20,Milan Morning,170,155
2023-05-20,Milan Night,236,568
2023-05-20,Rajdhani Day,990,346
2023-05-20,Sridevi,890,480
2023-05-20,Sridevi Night,145,289
2023-05-20,Supreme Day,289,237
2023-05-20,Supreme Night,678,389
2023-05-20,Tara Mumbai Day,479,556
2023-05-20,Time Bazar,479,140
2023-05-21,Kalyan Morning,249,257
2023-05-21,Madhur Day,889,790
2023-05-21,Madhur Morning,370,357
2023-05-21,Madhuri,569,169
2023-05-21,Milan Morning,559,123
2023-05-21,Sridevi,679,126
2023-05-21,Sridevi Night,690,357
2023-05-21,Supreme Day,578,778
2023-05-21,Supreme Night,368,138
2023-05-22,Kalyan,668,357
2023-05-22,Kalyan Morning,170,389
2023-05-22,Kalyan Night,269,469
2023-05-22,Madhur Day,136,377
2023-05-22,Madhur Morning,455,225
2023-05-22,Madhur Night,289,380
2023-05-22,Madhuri,590,560
2023-05-22,Madhuri Night,124,389
2023-05-22,Main Bazar,169,110
2023-05-22,Milan Day,267,260
2023-05-22,Milan Morning,177,116
2023-05-22,Milan Night,126,126
2023-05-22,Rajdhani Day,239,579
2023-05-22,Rajdhani Night,145,780
2023-05-22,Sridevi,246,360
2023-05-22,Sridevi Night,700,358
2023-05-22,Supreme Day,250,179
2023-05-22,Supreme Night,150,260
2023-05-22,Tara Mumbai Day,228,335
2023-05-22,Time Bazar,189,689
2023-05-23,Kalyan,337,178
2023-05-23,Kalyan Morning,579,470
2023-05-23,Kalyan Night,370,136
2023-05-23,Madhur Day,479,336
2023-05-23,Madhur Morning,388,267
2023-05-23,Madhur Night,115,240
2023-05-23,Madhuri,239,159
2023-05-23,Madhuri Night,380,345
2023-05-23,Main Bazar,170,690
2023-05-23,Milan Day,889,488
2023-05-23,Milan Morning,567,590
2023-05-23,Milan Night,200,990
2023-05-23,Rajdhani Day,359,290
2023-05-23,Rajdhani Night,457,160
2023-05-23,Sridevi,460,689
2023-05-23,Sridevi Night,269,568
2023-05-23,Supreme Day,120,560
2023-05-23,Supreme Night,349,467
2023-05-23,Tara Mumbai Day,448,246
2023-05-23,Time Bazar,359,269
2023-05-24,Kalyan,569,367
2023-05-24,Kalyan Morning,150,190
2023-05-24,Kalyan Night,356,167
2023-05-24,Madhur Day,670,168
2023-05-24,Madhur Morning,489,580
2023-05-24,Madhur Night,589,677
2023-05-24,Madhuri,138,578
2023-05-24,Madhuri Night,126,245
2023-05-24,Main Bazar,166,124
2023-05-24,Milan Day,335,589
2023-05-24,Milan Morning,236,468
2023-05-24,Milan Night,680,577
